fips,county,state,abbr
01000,alabama,alabama,al
01001,autauga_county,alabama,al
01003,baldwin_county,alabama,al
01005,barbour_county,alabama,al
01007,bibb_county,alabama,al
01009,blount_county,alabama,al
01011,bullock_county,alabama,al
01013,butler_county,alabama,al
01015,calhoun_county,alabama,al
01017,chambers_county,alabama,al
01019,cherokee_county,alabama,al
01021,chilton_county,alabama,al
01023,choctaw_county,alabama,al
01025,clarke_county,alabama,al
01027,clay_county,alabama,al
01029,cleburne_county,alabama,al
01031,coffee_county,alabama,al
01033,colbert_county,alabama,al
01035,conecuh_county,alabama,al
01037,coosa_county,alabama,al
01039,covington_county,alabama,al
01041,crenshaw_county,alabama,al
01043,cullman_county,alabama,al
01045,dale_county,alabama,al
01047,dallas_county,alabama,al
01049,dekalb_county,alabama,al
01051,elmore_county,alabama,al
01053,escambia_county,alabama,al
01055,etowah_county,alabama,al
01057,fayette_county,alabama,al
01059,franklin_county,alabama,al
01061,geneva_county,alabama,al
01063,greene_county,alabama,al
01065,hale_county,alabama,al
01067,henry_county,alabama,al
01069,houston_county,alabama,al
01071,jackson_county,alabama,al
01073,jefferson_county,alabama,al
01075,lamar_county,alabama,al
01077,lauderdale_county,alabama,al
01079,lawrence_county,alabama,al
01081,lee_county,alabama,al
01083,limestone_county,alabama,al
01085,lowndes_county,alabama,al
01087,macon_county,alabama,al
01089,madison_county,alabama,al
01091,marengo_county,alabama,al
01093,marion_county,alabama,al
01095,marshall_county,alabama,al
01097,mobile_county,alabama,al
01099,monroe_county,alabama,al
01101,montgomery_county,alabama,al
01103,morgan_county,alabama,al
01105,perry_county,alabama,al
01107,pickens_county,alabama,al
01109,pike_county,alabama,al
01111,randolph_county,alabama,al
01113,russell_county,alabama,al
01115,st._clair_county,alabama,al
01117,shelby_county,alabama,al
01119,sumter_county,alabama,al
01121,talladega_county,alabama,al
01123,tallapoosa_county,alabama,al
01125,tuscaloosa_county,alabama,al
01127,walker_county,alabama,al
01129,washington_county,alabama,al
01131,wilcox_county,alabama,al
01133,winston_county,alabama,al
02000,alaska,alaska,ak
02013,aleutians_east_borough,alaska,ak
02016,aleutians_west_census_area,alaska,ak
02020,anchorage_borough,alaska,ak
02050,bethel_census_area,alaska,ak
02060,bristol_bay_borough,alaska,ak
02068,denali_borough,alaska,ak
02070,dillingham_census_area,alaska,ak
02090,fairbanks_north_star_borough,alaska,ak
02100,haines_borough,alaska,ak
02110,juneau_borough,alaska,ak
02122,kenai_peninsula_borough,alaska,ak
02130,ketchikan_gateway_borough,alaska,ak
02150,kodiak_island_borough,alaska,ak
02164,lake_and_peninsula_borough,alaska,ak
02170,matanuska-susitna_borough,alaska,ak
02180,nome_census_area,alaska,ak
02185,north_slope_borough,alaska,ak
02188,northwest_arctic_borough,alaska,ak
02201,prince_of_wales-outer_ketchikan_census_area,alaska,ak
02220,sitka_borough,alaska,ak
02231,skagway-yakutat-angoon_census_area,alaska,ak
02232,skagway-hoonah-angoon_census_area,alaska,ak
02240,southeast_fairbanks_census_area,alaska,ak
02261,valdez-cordova_census_area,alaska,ak
02270,wade_hampton_census_area,alaska,ak
02280,wrangell-petersburg_census_area,alaska,ak
02282,yakutat_borough,alaska,ak
02290,yukon-koyukuk_census_area,alaska,ak
04000,arizona,arizona,az
04001,apache_county,arizona,az
04003,cochise_county,arizona,az
04005,coconino_county,arizona,az
04007,gila_county,arizona,az
04009,graham_county,arizona,az
04011,greenlee_county,arizona,az
04012,la_paz_county,arizona,az
04013,maricopa_county,arizona,az
04015,mohave_county,arizona,az
04017,navajo_county,arizona,az
04019,pima_county,arizona,az
04021,pinal_county,arizona,az
04023,santa_cruz_county,arizona,az
04025,yavapai_county,arizona,az
04027,yuma_county,arizona,az
05000,arkansas,arkansas,ar
05001,arkansas_county,arkansas,ar
05003,ashley_county,arkansas,ar
05005,baxter_county,arkansas,ar
05007,benton_county,arkansas,ar
05009,boone_county,arkansas,ar
05011,bradley_county,arkansas,ar
05013,calhoun_county,arkansas,ar
05015,carroll_county,arkansas,ar
05017,chicot_county,arkansas,ar
05019,clark_county,arkansas,ar
05021,clay_county,arkansas,ar
05023,cleburne_county,arkansas,ar
05025,cleveland_county,arkansas,ar
05027,columbia_county,arkansas,ar
05029,conway_county,arkansas,ar
05031,craighead_county,arkansas,ar
05033,crawford_county,arkansas,ar
05035,crittenden_county,arkansas,ar
05037,cross_county,arkansas,ar
05039,dallas_county,arkansas,ar
