fip,perc_coverage,address_median,address_std
53011.csv.xz,0.0,,
12113.csv.xz,0.0,,
17009.csv.xz,0.0,,
29157.csv.xz,0.0,,
17143.csv.xz,0.0,,
27091.csv.xz,0.0,,
40039.csv.xz,0.0,,
27101.csv.xz,0.0,,
06113.csv.xz,0.0,,
06033.csv.xz,0.0,,
72091.csv.xz,0.0,,
21007.csv.xz,0.0,,
31041.csv.xz,0.0,,
02068.csv.xz,0.0,,
48269.csv.xz,0.0,,
32029.csv.xz,0.0,,
46087.csv.xz,0.0,,
15009.csv.xz,0.0,,
08095.csv.xz,0.0,,
17097.csv.xz,0.0,,
29075.csv.xz,0.0,,
28099.csv.xz,0.0,,
29113.csv.xz,0.0,,
29111.csv.xz,0.0,,
40123.csv.xz,0.0,,
48319.csv.xz,0.0,,
72007.csv.xz,0.0,,
72103.csv.xz,0.0,,
33019.csv.xz,0.0,,
16079.csv.xz,0.0,,
46085.csv.xz,0.0,,
17023.csv.xz,0.0,,
40121.csv.xz,0.0,,
16027.csv.xz,0.0,,
28111.csv.xz,0.0,,
26057.csv.xz,0.0,,
27145.csv.xz,0.0,,
29137.csv.xz,0.0,,
20151.csv.xz,0.0,,
40023.csv.xz,0.0,,
12101.csv.xz,0.0,,
16051.csv.xz,0.0,,
46109.csv.xz,0.0,,
12053.csv.xz,0.0,,
17181.csv.xz,0.0,,
22043.csv.xz,0.0,,
42123.csv.xz,0.0,,
45049.csv.xz,0.0,,
42075.csv.xz,0.0,,
45063.csv.xz,0.0,,
22121.csv.xz,0.0,,
32015.csv.xz,0.0,,
21033.csv.xz,0.0,,
17179.csv.xz,0.0,,
17053.csv.xz,0.0,,
06075.csv.xz,0.0,,
27099.csv.xz,0.0,,
29199.csv.xz,0.0,,
45057.csv.xz,0.0,,
26063.csv.xz,0.0,,
17139.csv.xz,0.0,,
26007.csv.xz,0.0,,
21035.csv.xz,0.0,,
53001.csv.xz,0.0,,
12019.csv.xz,0.0,,
21001.csv.xz,0.0,,
72145.csv.xz,0.0,,
22019.csv.xz,0.0,,
33015.csv.xz,0.0,,
56043.csv.xz,0.0,,
17137.csv.xz,0.0,,
72053.csv.xz,0.0,,
20007.csv.xz,0.0,,
27095.csv.xz,0.0,,
02198.csv.xz,0.0,,
26075.csv.xz,0.0,,
42043.csv.xz,0.0,,
12003.csv.xz,0.0,,
54033.csv.xz,0.0,,
08099.csv.xz,0.0,,
29197.csv.xz,0.0,,
28119.csv.xz,0.0,,
72095.csv.xz,0.0,,
21161.csv.xz,0.0,,
31025.csv.xz,0.0,,
21089.csv.xz,0.0,,
41027.csv.xz,0.0,,
08023.csv.xz,0.0,,
22097.csv.xz,0.0,,
42039.csv.xz,0.0,,
06009.csv.xz,0.0,,
22107.csv.xz,0.0,,
27071.csv.xz,0.0,,
45039.csv.xz,0.0,,
22103.csv.xz,0.0,,
29021.csv.xz,0.0,,
20045.csv.xz,0.0,,
17063.csv.xz,0.0,,
31171.csv.xz,0.0,,
17123.csv.xz,0.0,,
40009.csv.xz,0.0,,
19197.csv.xz,0.0,,
46097.csv.xz,0.0,,
17037.csv.xz,0.0,,
28037.csv.xz,0.0,,
31157.csv.xz,0.0,,
54087.csv.xz,0.0,,
26069.csv.xz,0.0,,
46102.csv.xz,0.0,,
40137.csv.xz,0.0,,
72063.csv.xz,0.0,,
17131.csv.xz,0.0,,
17141.csv.xz,0.0,,
32009.csv.xz,0.0,,
31065.csv.xz,0.0,,
29211.csv.xz,0.0,,
21085.csv.xz,0.0,,
27135.csv.xz,0.0,,
28153.csv.xz,0.0,,
26147.csv.xz,0.0,,
41051.csv.xz,0.0,,
17125.csv.xz,0.0,,
21005.csv.xz,0.0,,
42077.csv.xz,0.0,,
31119.csv.xz,0.0,,
17133.csv.xz,0.0,,
72009.csv.xz,0.0,,
27103.csv.xz,0.0,,
41001.csv.xz,0.0,,
40033.csv.xz,0.0,,
72137.csv.xz,0.0,,
42119.csv.xz,0.0,,
48079.csv.xz,0.0,,
54043.csv.xz,0.0,,
41035.csv.xz,0.0,,
17105.csv.xz,0.0,,
27013.csv.xz,0.0,,
29041.csv.xz,0.0,,
40153.csv.xz,0.0,,
45055.csv.xz,0.0,,
27001.csv.xz,0.0,,
02230.csv.xz,0.0,,
33001.csv.xz,0.0,,
72023.csv.xz,0.0,,
26071.csv.xz,0.0,,
41013.csv.xz,0.0,,
17119.csv.xz,0.0,,
40091.csv.xz,0.0,,
48125.csv.xz,0.0,,
26011.csv.xz,0.0,,
21227.csv.xz,0.0,,
21087.csv.xz,0.0,,
46125.csv.xz,0.0,,
16055.csv.xz,0.0,,
12071.csv.xz,0.0,,
17165.csv.xz,0.0,,
31115.csv.xz,0.0,,
27113.csv.xz,0.0,,
32011.csv.xz,0.0,,
17029.csv.xz,0.0,,
56029.csv.xz,0.0,,
12067.csv.xz,0.0,,
40065.csv.xz,0.0,,
28051.csv.xz,0.0,,
22031.csv.xz,0.0,,
54031.csv.xz,0.0,,
27023.csv.xz,0.0,,
17049.csv.xz,0.0,,
06081.csv.xz,0.0,,
20175.csv.xz,0.0,,
40057.csv.xz,0.0,,
46057.csv.xz,0.0,,
28003.csv.xz,0.0,,
22009.csv.xz,0.0,,
12029.csv.xz,0.0,,
12086.csv.xz,0.0,,
12041.csv.xz,0.0,,
16083.csv.xz,0.0,,
17149.csv.xz,0.0,,
21219.csv.xz,0.0,,
06103.csv.xz,0.0,,
29171.csv.xz,0.0,,
26097.csv.xz,0.0,,
17039.csv.xz,0.0,,
17175.csv.xz,0.0,,
20153.csv.xz,0.0,,
27097.csv.xz,0.0,,
29063.csv.xz,0.0,,
21143.csv.xz,0.0,,
41019.csv.xz,0.0,,
54097.csv.xz,0.0,,
27083.csv.xz,0.0,,
48451.csv.xz,0.0,,
22051.csv.xz,0.0,,
17151.csv.xz,0.0,,
12007.csv.xz,0.0,,
21013.csv.xz,0.0,,
28121.csv.xz,0.0,,
31163.csv.xz,0.0,,
21235.csv.xz,0.0,,
22085.csv.xz,0.0,,
53035.csv.xz,0.0,,
19007.csv.xz,0.0,,
28149.csv.xz,0.0,,
42069.csv.xz,0.0,,
54059.csv.xz,0.0,,
02180.csv.xz,0.0,,
45027.csv.xz,0.0,,
29061.csv.xz,0.0,,
21173.csv.xz,0.0,,
72083.csv.xz,0.0,,
22067.csv.xz,0.0,,
41043.csv.xz,0.0,,
48455.csv.xz,0.0,,
72071.csv.xz,0.0,,
12061.csv.xz,0.0,,
72135.csv.xz,0.0,,
45029.csv.xz,0.0,,
72153.csv.xz,0.0,,
31173.csv.xz,0.0,,
21047.csv.xz,0.0,,
21207.csv.xz,0.0,,
26137.csv.xz,0.0,,
53003.csv.xz,0.0,,
18111.csv.xz,0.0,,
46015.csv.xz,0.0,,
17191.csv.xz,0.0,,
31153.csv.xz,0.0,,
17043.csv.xz,0.0,,
46079.csv.xz,0.0,,
21139.csv.xz,0.0,,
27045.csv.xz,0.0,,
06091.csv.xz,0.0,,
72041.csv.xz,0.0,,
54013.csv.xz,0.0,,
06007.csv.xz,0.0,,
17041.csv.xz,0.0,,
21177.csv.xz,0.0,,
72099.csv.xz,0.0,,
28115.csv.xz,0.0,,
45069.csv.xz,0.0,,
46115.csv.xz,0.0,,
21159.csv.xz,0.0,,
28061.csv.xz,0.0,,
41011.csv.xz,0.0,,
17199.csv.xz,0.0,,
27029.csv.xz,0.0,,
